text,label
There is colour transfer after testing,veg-5
Observation: grainy surface,spice-13
"After the test, Clay/mud particles settle at the bottom.",bev-1
"The sample shows Edged, square-shaped khesari dal seeds visible.",cereal-4
It looks like different shape seeds,cereal-4
"After the test, white residue",spice-9
The result indicates flows fast,milk-1
The food sample shows Very thin foam layer forms on shaking.,milk-2
The sample shows particles floating,cereal-3
"I observed Clean, uniform flour with no visible impurities. in the food",cereal-9
It looks like Chilli powder floats without releasing colour streaks into water.,spice-5
The result indicates floating in spirit,spice-6
"After the test, Uniform-shaped dal seeds, no edged/square irregular shapes.",cereal-4
The sample shows sand,cereal-9
The result indicates blue color,milk-3
We noticed rough seeds in the sample,spice-13
It looks like colour in water,cereal-5
Observation: cracking sound,sweet-1
We noticed Iron filings stick to the magnet. in the sample,bev-4
We noticed water turns green in the sample,veg-4
The sample shows filings on magnet,bev-4
The sample shows spreads,sweet-1
The food sample shows iron on magnet,bev-4
